"County","Date","fatality_cases_per_day","year","month","week"
"Bexar",2020-07-11,427,2020,7,28
"Bexar",2020-07-12,452,2020,7,28
"Bexar",2020-07-13,485,2020,7,28
"Bexar",2020-07-14,515,2020,7,28
"Bexar",2020-07-15,549,2020,7,29
"Bexar",2020-07-16,572,2020,7,29
"Bexar",2020-07-17,602,2020,7,29
"Bexar",2020-07-18,623,2020,7,29
"Bexar",2020-07-19,653,2020,7,29
"Bexar",2020-07-20,666,2020,7,29
"Bexar",2020-07-21,693,2020,7,29
"Bexar",2020-07-22,718,2020,7,30
"Bexar",2020-07-23,750,2020,7,30
"Bexar",2020-07-24,777,2020,7,30
"Bexar",2020-07-25,806,2020,7,30
"Bexar",2020-07-26,822,2020,7,30
"Bexar",2020-07-27,848,2020,7,30
"Bexar",2020-07-28,873,2020,7,30
"Bexar",2020-07-29,888,2020,7,31
"Bexar",2020-07-30,910,2020,7,31
"Bexar",2020-07-31,930,2020,7,31
"Bexar",2020-08-01,942,2020,8,31
"Bexar",2020-08-02,959,2020,8,31
"Bexar",2020-08-03,973,2020,8,31
"Bexar",2020-08-04,989,2020,8,31
"Bexar",2020-08-05,1005,2020,8,32
"Bexar",2020-08-06,1014,2020,8,32
"Bexar",2020-08-07,1026,2020,8,32
"Bexar",2020-08-08,1031,2020,8,32
"Bexar",2020-08-09,1052,2020,8,32
"Bexar",2020-08-10,1062,2020,8,32
"Bexar",2020-08-11,1072,2020,8,32
"Bexar",2020-08-12,1088,2020,8,33
"Bexar",2020-08-13,1108,2020,8,33
"Bexar",2020-08-14,1125,2020,8,33
"Bexar",2020-08-15,1130,2020,8,33
"Bexar",2020-08-16,1134,2020,8,33
"Bexar",2020-08-17,1143,2020,8,33
"Bexar",2020-08-18,1152,2020,8,33
"Bexar",2020-08-19,1168,2020,8,34
"Bexar",2020-08-20,1177,2020,8,34
"Bexar",2020-08-21,1191,2020,8,34
"Bexar",2020-08-22,1196,2020,8,34
"Bexar",2020-08-23,1207,2020,8,34
"Bexar",2020-08-24,1217,2020,8,34
"Bexar",2020-08-25,1226,2020,8,34
"Bexar",2020-08-26,1233,2020,8,35
"Bexar",2020-08-27,1248,2020,8,35
"Bexar",2020-08-28,1259,2020,8,35
"Bexar",2020-08-29,1263,2020,8,35
"Bexar",2020-08-30,1269,2020,8,35
"Bexar",2020-08-31,1271,2020,8,35
"Bexar",2020-09-01,1277,2020,9,35
"Bexar",2020-09-02,1285,2020,9,36
"Bexar",2020-09-03,1289,2020,9,36
"Bexar",2020-09-04,1294,2020,9,36
"Bexar",2020-09-05,1300,2020,9,36
"Bexar",2020-09-06,1305,2020,9,36
"Bexar",2020-09-07,1308,2020,9,36
"Bexar",2020-09-08,1313,2020,9,36
"Bexar",2020-09-09,1316,2020,9,37
"Bexar",2020-09-10,1320,2020,9,37
"Bexar",2020-09-11,1324,2020,9,37
"Bexar",2020-09-12,1328,2020,9,37
"Bexar",2020-09-13,1334,2020,9,37
"Bexar",2020-09-14,1338,2020,9,37
"Bexar",2020-09-15,1342,2020,9,37
"Bexar",2020-09-16,1349,2020,9,38
"Bexar",2020-09-17,1351,2020,9,38
"Bexar",2020-09-18,1354,2020,9,38
"Bexar",2020-09-19,1357,2020,9,38
"Bexar",2020-09-20,1360,2020,9,38
"Bexar",2020-09-21,1363,2020,9,38
"Bexar",2020-09-22,1366,2020,9,38
"Bexar",2020-09-23,1368,2020,9,39
"Bexar",2020-09-24,1373,2020,9,39
"Bexar",2020-09-25,1375,2020,9,39
"Bexar",2020-09-26,1376,2020,9,39
"Bexar",2020-09-27,1376,2020,9,39
"Bexar",2020-09-28,1379,2020,9,39
"Bexar",2020-09-29,1384,2020,9,39
"Bexar",2020-09-30,1385,2020,9,40
"Bexar",2020-10-01,1388,2020,10,40
"Bexar",2020-10-02,1388,2020,10,40
"Bexar",2020-10-03,1394,2020,10,40
"Bexar",2020-10-04,1395,2020,10,40
"Bexar",2020-10-05,1400,2020,10,40
"Bexar",2020-10-06,1403,2020,10,40
"Bexar",2020-10-07,1408,2020,10,41
"Bexar",2020-10-08,1410,2020,10,41
"Bexar",2020-10-09,1412,2020,10,41
"Bexar",2020-10-10,1415,2020,10,41
"Bexar",2020-10-11,1419,2020,10,41
"Bexar",2020-10-12,1420,2020,10,41
"Bexar",2020-10-13,1423,2020,10,41
"Bexar",2020-10-14,1425,2020,10,42
"Bexar",2020-10-15,1427,2020,10,42
"Bexar",2020-10-16,1431,2020,10,42
"Bexar",2020-10-17,1432,2020,10,42
"Bexar",2020-10-18,1434,2020,10,42
"Bexar",2020-10-19,1438,2020,10,42
"Bexar",2020-10-20,1439,2020,10,42
"Bexar",2020-10-21,1440,2020,10,43
"Bexar",2020-10-22,1442,2020,10,43
"Bexar",2020-10-23,1445,2020,10,43
"Bexar",2020-10-24,1448,2020,10,43
"Bexar",2020-10-25,1450,2020,10,43
"Bexar",2020-10-26,1456,2020,10,43
"Bexar",2020-10-27,1460,2020,10,43
"Bexar",2020-10-28,1462,2020,10,44
"Bexar",2020-10-29,1467,2020,10,44
"Bexar",2020-10-30,1471,2020,10,44
"Bexar",2020-10-31,1472,2020,10,44
"Bexar",2020-11-01,1474,2020,11,44
"Bexar",2020-11-02,1474,2020,11,44
"Bexar",2020-11-03,1476,2020,11,44
"Bexar",2020-11-04,1482,2020,11,45
"Bexar",2020-11-05,1486,2020,11,45
"Bexar",2020-11-06,1490,2020,11,45
"Bexar",2020-11-07,1493,2020,11,45
"Bexar",2020-11-08,1495,2020,11,45
"Bexar",2020-11-09,1499,2020,11,45
"Bexar",2020-11-10,1499,2020,11,45
"Bexar",2020-11-11,1503,2020,11,46
"Bexar",2020-11-12,1504,2020,11,46
"Bexar",2020-11-13,1506,2020,11,46
"Bexar",2020-11-14,1507,2020,11,46
"Bexar",2020-11-15,1513,2020,11,46
"Bexar",2020-11-16,1516,2020,11,46
"Bexar",2020-11-17,1526,2020,11,46
"Bexar",2020-11-18,1531,2020,11,47
"Bexar",2020-11-19,1534,2020,11,47
"Bexar",2020-11-20,1540,2020,11,47
"Bexar",2020-11-21,1542,2020,11,47
"Bexar",2020-11-22,1546,2020,11,47
"Bexar",2020-11-23,1552,2020,11,47
"Bexar",2020-11-24,1557,2020,11,47
"Bexar",2020-11-25,1563,2020,11,48
"Bexar",2020-11-26,1571,2020,11,48
"Bexar",2020-11-27,1573,2020,11,48
"Bexar",2020-11-28,1581,2020,11,48
"Bexar",2020-11-29,1589,2020,11,48
"Bexar",2020-11-30,1593,2020,11,48
"Bexar",2020-12-01,1597,2020,12,48
"Bexar",2020-12-02,1604,2020,12,49
"Bexar",2020-12-03,1618,2020,12,49
"Bexar",2020-12-04,1627,2020,12,49
"Bexar",2020-12-05,1636,2020,12,49
"Bexar",2020-12-06,1640,2020,12,49
"Bexar",2020-12-07,1646,2020,12,49
"Bexar",2020-12-08,1656,2020,12,49
"Bexar",2020-12-09,1669,2020,12,50
"Bexar",2020-12-10,1677,2020,12,50
"Bexar",2020-12-11,1684,2020,12,50
"Bexar",2020-12-12,1695,2020,12,50
"Bexar",2020-12-13,1704,2020,12,50
"Bexar",2020-12-14,1716,2020,12,50
"Bexar",2020-12-15,1729,2020,12,50
"Bexar",2020-12-16,1740,2020,12,51
"Bexar",2020-12-17,1753,2020,12,51
"Bexar",2020-12-18,1770,2020,12,51
"Bexar",2020-12-19,1781,2020,12,51
"Bexar",2020-12-20,1793,2020,12,51
"Bexar",2020-12-21,1813,2020,12,51
"Bexar",2020-12-22,1838,2020,12,51
"Bexar",2020-12-23,1852,2020,12,52
"Bexar",2020-12-24,1870,2020,12,52
"Bexar",2020-12-25,1884,2020,12,52
"Bexar",2020-12-26,1895,2020,12,52
"Bexar",2020-12-27,1912,2020,12,52
"Bexar",2020-12-28,1930,2020,12,52
"Bexar",2020-12-29,1946,2020,12,52
"Bexar",2020-12-30,1967,2020,12,53
"Bexar",2020-12-31,1980,2020,12,53
"Bexar",2021-01-01,NA,2021,1,1
"Bexar",2021-01-02,NA,2021,1,1
"Bexar",2021-01-03,NA,2021,1,1
"Bexar",2021-01-04,NA,2021,1,1
"Bexar",2021-01-05,NA,2021,1,1
"Bexar",2021-01-06,NA,2021,1,1
"Bexar",2021-01-07,NA,2021,1,1
"Bexar",2021-01-08,NA,2021,1,2
"Bexar",2021-01-09,NA,2021,1,2
"Bexar",2021-01-10,NA,2021,1,2
"Bexar",2021-01-11,NA,2021,1,2
"Bexar",2021-01-12,NA,2021,1,2
"Bexar",2021-01-13,NA,2021,1,2
"Bexar",2021-01-14,NA,2021,1,2
"Bexar",2021-01-15,NA,2021,1,3
"Bexar",2021-01-16,NA,2021,1,3
"Bexar",2021-01-17,NA,2021,1,3
"Bexar",2021-01-18,NA,2021,1,3
"Bexar",2021-01-19,NA,2021,1,3
"Bexar",2021-01-20,NA,2021,1,3
"Bexar",2021-01-21,NA,2021,1,3
"Bexar",2021-01-22,NA,2021,1,4
"Bexar",2021-01-23,NA,2021,1,4
"Bexar",2021-01-24,NA,2021,1,4
"Bexar",2021-01-25,NA,2021,1,4
"Bexar",2021-01-26,NA,2021,1,4
"Bexar",2021-01-27,NA,2021,1,4
"Bexar",2021-01-28,NA,2021,1,4
"Bexar",2021-01-29,NA,2021,1,5
"Bexar",2021-01-30,NA,2021,1,5
"Bexar",2021-01-31,NA,2021,1,5
"Bexar",2021-02-01,NA,2021,2,5
"Bexar",2021-02-02,NA,2021,2,5
"Bexar",2021-02-03,NA,2021,2,5
"Bexar",2021-02-04,NA,2021,2,5
"Bexar",2021-02-05,NA,2021,2,6
"Bexar",2021-02-06,NA,2021,2,6
"Bexar",2021-02-07,NA,2021,2,6
"Bexar",2021-02-08,NA,2021,2,6
"Bexar",2021-02-09,NA,2021,2,6
"Bexar",2021-02-10,NA,2021,2,6
"Bexar",2021-02-11,NA,2021,2,6
"Bexar",2021-02-12,NA,2021,2,7
"Bexar",2021-02-13,NA,2021,2,7
"Bexar",2021-02-14,NA,2021,2,7
"Bexar",2021-02-15,NA,2021,2,7
"Bexar",2021-02-16,NA,2021,2,7
"Bexar",2021-02-17,NA,2021,2,7
"Bexar",2021-02-18,NA,2021,2,7
"Bexar",2021-02-19,NA,2021,2,8
"Bexar",2021-02-20,NA,2021,2,8
"Bexar",2021-02-21,NA,2021,2,8
"Bexar",2021-02-22,NA,2021,2,8
"Bexar",2021-02-23,NA,2021,2,8
"Bexar",2021-02-24,NA,2021,2,8
"Bexar",2021-02-25,NA,2021,2,8
"Bexar",2021-02-26,NA,2021,2,9
"Bexar",2021-02-27,NA,2021,2,9
"Bexar",2021-02-28,NA,2021,2,9
"Bexar",2021-03-01,NA,2021,3,9
"Bexar",2021-03-02,NA,2021,3,9
"Bexar",2021-03-03,NA,2021,3,9
"Bexar",2021-03-04,NA,2021,3,9
"Bexar",2021-03-05,NA,2021,3,10
"Bexar",2021-03-06,NA,2021,3,10
"Bexar",2021-03-07,NA,2021,3,10
"Bexar",2021-03-08,NA,2021,3,10
"Bexar",2021-03-09,NA,2021,3,10
"Bexar",2021-03-10,NA,2021,3,10
"Bexar",2021-03-11,NA,2021,3,10
"Bexar",2021-03-12,NA,2021,3,11
"Bexar",2021-03-13,NA,2021,3,11
"Bexar",2021-03-14,NA,2021,3,11
"Bexar",2021-03-15,NA,2021,3,11
"Bexar",2021-03-16,NA,2021,3,11
"Bexar",2021-03-17,NA,2021,3,11
"Bexar",2021-03-18,NA,2021,3,11
"Bexar",2021-03-19,NA,2021,3,12
"Bexar",2021-03-20,NA,2021,3,12
"Bexar",2021-03-21,NA,2021,3,12
"Bexar",2021-03-22,NA,2021,3,12
"Bexar",2021-03-23,NA,2021,3,12
"Bexar",2021-03-24,NA,2021,3,12
"Bexar",2021-03-25,NA,2021,3,12
"Bexar",2021-03-26,NA,2021,3,13
"Bexar",2021-03-27,NA,2021,3,13
